Comunication range: 4,
1638,1376,363,1678,939, ,2476,1921,565,2234,542, ,1845,3058,3068,2167,766, ,1927,1945,3486,1925,635, ,
1714,1828,1992,437,725, ,1762,1398,2859,2488,1037, ,2451,2691,2485,2127,382, ,2968,1944,1966,2174,1738, ,
1699,1708,826,2034,587, ,1476,3435,1725,2355,868, ,1888,2204,1756,1892,890, ,2367,2275,1529,2193,842, ,
698,1176,1336,2288,409, ,1384,1145,2054,2221,178, ,1673,2611,1905,3534,2253, ,2246,2463,2546,2358,539, ,
706,1038,477,2224,607, ,1033,919,2595,2722,933, ,1741,2273,2283,1891,709, ,2046,2274,1769,1993,457, ,
505,887,1157,1984,774, ,1401,1282,1219,3104,1063, ,1798,2311,2139,2403,427, ,3271,2315,2031,1776,1193, ,
968,992,644,1990,999, ,1036,1084,2588,2170,834, ,1819,2465,1535,2876,1021, ,2080,2044,1735,3138,952, ,
1524,1422,703,3470,1395, ,2533,2077,730,1612,526, ,2452,2425,1926,2345,759, ,1823,2974,2067,2227,1168, ,
1035,1239,2017,2368,316, ,3031,1957,798,2962,434, ,2633,2151,1563,2947,974, ,2197,3096,2979,1946,599, ,
766,965,2438,1681,404, ,2704,2027,978,2835,1063, ,1476,1955,1377,2116,919, ,2409,2192,2192,2311,1130, ,
948,787,497,2034,132, ,2077,2085,2678,2007,971, ,2645,1754,1489,1844,236, ,2847,2854,1853,2170,1138, ,
1294,1881,920,1590,984, ,1296,1014,1506,2119,387, ,1983,2545,2099,2304,347, ,2074,1852,1815,2783,527, ,
2014,1145,2361,3006,95, ,2423,1498,1421,2361,848, ,2695,2261,1288,2461,389, ,1937,2059,1432,1859,1078, ,
1244,1782,850,1847,615, ,2316,2500,1005,2650,785, ,1304,1778,2458,2582,851, ,1565,1831,1228,2249,1443, ,
1148,1075,559,1688,357, ,2240,1727,1254,1225,232, ,1552,2524,1621,1607,789, ,2152,2724,1980,2923,868, ,
852,484,370,1744,1068, ,2418,1267,2346,2144,1912, ,2774,3064,1214,3048,767, ,3118,3152,1621,2065,506, ,
449,323,590,1926,104, ,1170,1475,2271,3049,439, ,2012,2127,1573,2205,1178, ,2971,2507,2165,2903,979, ,
727,724,627,2148,356, ,1666,2765,1706,1925,117, ,3042,2519,1579,2879,1004, ,1926,2096,1552,1792,1070, ,
618,570,1455,1985,731, ,1479,1781,1043,2805,568, ,2517,2598,705,2252,1558, ,2294,2417,1937,1979,447, ,
1901,1847,1306,2063,340, ,1345,1973,1004,2859,638, ,2197,1741,1940,2344,1404, ,2803,1957,2180,1900,1456, ,

1122.4,1162.45,1074.4,2009.25,596.85, ,1863.3,1766.5,1617.25,2392.35,718.75, ,2124.85,2352.75,1800.15,2391.2,881.15, ,2351.05,2348.55,2003.15,2233.2,938.25, ,
469.925,460.7,646.957,569.07,346.247, ,597.618,616.558,711.708,480.184,399.175, ,481.191,367.957,516.482,460.234,459.661, ,469.195,406.568,511.675,391.104,360.907, ,






Comunication range: 8,
912,752,351,1743,760, ,703,878,479,1992,537, ,845,1854,1013,1762,802, ,1486,1246,900,2004,883, ,
499,242,380,434,500, ,1038,778,862,1921,937, ,1066,1335,1214,1976,1059, ,864,1032,1317,2035,1000, ,
613,838,525,2100,587, ,481,437,995,1642,568, ,980,899,751,2025,886, ,1215,1471,1087,2224,648, ,
650,687,593,2077,488, ,860,874,618,1873,228, ,1006,867,922,2015,461, ,861,1037,1796,1720,1023, ,
513,317,473,1441,400, ,573,585,882,1983,888, ,1006,1050,835,1857,839, ,1083,1082,1336,2101,653, ,
327,633,306,1984,590, ,829,399,604,2058,529, ,755,1221,1118,2135,1015, ,1215,1053,1224,2179,583, ,
303,304,268,1988,60, ,554,797,643,2158,691, ,1042,1140,733,2141,620, ,1369,1142,825,2187,1374, ,
1301,1266,757,2007,741, ,1420,1528,455,1934,642, ,1417,1182,929,2070,814, ,1508,1616,1188,2191,1049, ,
903,1129,873,2094,140, ,1037,968,611,2650,920, ,878,976,803,2171,1002, ,1303,1200,1463,2202,274, ,
497,666,1311,2641,401, ,400,746,532,2420,588, ,1002,749,891,2068,935, ,1373,1230,1511,1851,548, ,
700,740,519,1886,247, ,1397,1535,1738,1990,774, ,657,878,764,1576,533, ,1856,1520,1190,2011,941, ,
