Comunication range: 4,
6,0,7,2089,86, ,59,203,34,1032,1493, ,81,403,200,932,1548, ,9,143,892,877,392, ,
0,0,8,93,1, ,2,165,1031,2582,304, ,201,4,756,1272,468, ,169,41,57,1707,812, ,
1,30,16,1910,36, ,194,742,154,1601,801, ,62,49,448,1477,1116, ,115,51,91,600,761, ,
0,6,0,3452,1719, ,180,7,40,1453,500, ,6,380,288,2464,615, ,35,105,326,892,604, ,
0,0,51,2150,1, ,16,5,656,1647,149, ,7,140,765,460,427, ,43,129,53,1176,238, ,
19,1,5,3484,0, ,74,67,84,1453,1029, ,177,214,466,1208,240, ,422,120,200,890,491, ,
0,0,0,11,1, ,1,21,682,612,142, ,24,247,64,1523,513, ,111,88,110,1293,376, ,
4,0,5,88,1, ,374,101,36,1256,630, ,6,31,237,2037,343, ,37,33,37,1197,584, ,
13,3,13,54,1866, ,828,3,63,444,172, ,237,14,181,942,47, ,55,263,970,1291,377, ,
4,3,30,628,638, ,165,32,16,718,585, ,34,127,286,2088,142, ,33,75,280,1027,798, ,
0,39,9,2475,87, ,4,24,1337,1869,1786, ,111,92,394,2195,1200, ,293,304,124,1114,579, ,
2,35,18,141,1, ,41,13,127,1274,31, ,36,92,549,1606,214, ,184,188,142,659,503, ,
20,1,55,1396,0, ,91,273,22,1293,592, ,317,277,342,896,138, ,10,42,161,1298,840, ,
16,32,68,2813,495, ,4,4,181,2642,255, ,61,162,453,2387,1368, ,52,138,72,629,630, ,
2,7,7,1884,1, ,137,152,143,790,56, ,44,94,199,988,418, ,77,381,169,1724,1083, ,
0,2,6,1952,1, ,165,20,689,3014,191, ,13,206,266,699,501, ,560,393,55,1079,210, ,
3,1,0,2674,0, ,18,22,864,1406,1618, ,494,35,243,1772,672, ,142,94,237,1585,540, ,
5,0,9,4,1982, ,67,328,12,2990,392, ,6,161,80,2075,417, ,55,10,104,1141,413, ,
0,0,11,2583,751, ,144,5,75,1842,764, ,106,11,90,628,309, ,43,196,67,671,263, ,
3,1,4,56,1810, ,34,26,92,1726,792, ,291,15,85,2974,938, ,789,28,336,728,538, ,

4.9,8.05,16.1,1496.85,473.85, ,129.9,110.65,316.9,1582.2,614.1, ,115.7,137.7,319.6,1531.15,581.7, ,161.7,141.1,224.15,1078.9,551.6, ,
6.42573,13.2003,19.0549,1214.17,720.521, ,184.004,172.906,392.543,727.774,508.381, ,128.909,116.695,199.931,681.365,419.37, ,200.934,111.48,251.673,335.093,219.01, ,






Comunication range: 8,
0,4,3,172,1, ,10,13,3,1009,1279, ,7,713,328,1005,320, ,25,35,122,863,304, ,
63,0,0,96,1008, ,6,32,83,1491,57, ,9,29,70,886,1414, ,26,9,58,789,81, ,
1,0,1,1992,38, ,11,12,26,485,345, ,83,23,16,1183,212, ,165,39,133,511,316, ,
4,1,11,1265,1, ,3,4,124,1851,598, ,25,46,12,286,251, ,40,47,290,574,318, ,
1,33,55,431,1, ,9,19,96,994,679, ,135,6,71,883,728, ,123,25,101,718,319, ,
35,3,42,3484,1336, ,3,5,53,1167,778, ,8,240,74,840,442, ,55,26,37,686,549, ,
1,0,0,5,1, ,4,7,30,984,156, ,32,40,85,824,796, ,43,9,112,560,131, ,
31,2,1,1753,1, ,3,35,151,1400,670, ,26,9,99,566,212, ,36,64,89,666,75, ,
1,5,17,2118,96, ,293,9,24,631,410, ,67,34,90,781,405, ,9,18,292,1644,715, ,
1,24,9,723,637, ,5,68,170,434,516, ,8,35,17,745,178, ,60,41,149,926,249, ,
6,0,25,1887,1, ,3,16,607,1732,631, ,5,62,92,1036,589, ,231,45,28,970,287, ,
6,2,13,2296,1306, ,14,3,103,1978,871, ,12,32,80,1006,502, ,57,93,116,591,173, ,
1,1,1,888,0, ,5,6,21,1733,212, ,10,47,22,1224,377, ,27,31,106,790,330, ,
4,0,10,2815,611, ,6,20,161,1845,517, ,58,7,47,753,301, ,160,67,78,534,266, ,
4,2,5,1858,1, ,37,48,4,1316,91, ,6,67,68,767,559, ,19,81,155,774,173, ,
8,0,6,1978,1180, ,15,3,36,556,134, ,50,968,83,374,717, ,31,57,53,660,268, ,
1,1,7,268,0, ,7,22,31,1240,1625, ,38,8,89,1714,416, ,14,35,91,933,267, ,
25,7,11,483,1, ,23,5,638,3307,1489, ,433,96,63,927,750, ,44,8,358,904,175, ,
0,0,57,1631,143, ,31,6,36,670,693, ,35,265,126,758,214, ,6,15,81,612,310, ,
1,3,15,1506,1836, ,86,7,89,1799,807, ,29,4,49,2441,399, ,105,16,96,861,166, ,

9.7,4.4,14.45,1382.45,409.95, ,28.7,17,124.3,1331.1,627.9, ,53.8,136.55,79.05,949.95,489.1, ,63.8,38.05,127.25,778.3,273.6, ,
15.9534,8.36899,16.9041,946.904,579.608, ,63.4729,16.6523,173.651,665.226,429.475, ,92.5919,247.87,64.4496,452.032,284.935, ,59.6453,23.7349,85.5283,243.315,145.132, ,






Comunication range: 12,
4,0,17,201,1, ,7,21,11,1363,428, ,9,20,43,503,168, ,41,16,24,1170,131, ,
4,4,0,100,1652, ,20,3,89,1125,311, ,11,92,83,1071,196, ,13,39,62,516,81, ,
3,2,11,977,0, ,25,7,13,682,496, ,22,62,36,904,43, ,32,40,137,1201,369, ,
4,0,12,572,605, ,8,7,15,1335,112, ,8,32,76,399,1, ,12,33,219,444,283, ,
0,0,8,77,1, ,22,95,80,1344,585, ,20,5,47,713,436, ,25,133,266,906,317, ,
6,3,72,3484,0, ,3,71,16,552,327, ,21,60,120,776,1, ,33,6,35,744,255, ,
0,20,0,4,1, ,4,5,1,706,263, ,21,2,49,840,53, ,18,46,87,638,302, ,
0,11,15,3195,1, ,74,27,13,1040,0, ,8,3,48,463,184, ,8,22,128,888,6, ,
20,21,16,3382,0, ,7,7,41,738,496, ,6,10,77,883,92, ,14,20,53,826,35, ,
3,5,53,525,221, ,15,2,167,909,0, ,48,26,29,737,1, ,42,19,19,888,146, ,
