Comunication range: 4,
2137,2128,1203,2800,720, ,1539,3191,2460,1974,1545, ,3777,2617,2378,1601,1246, ,3829,2925,2289,1610,898, ,
1813,1419,1009,1794,1143, ,2887,2536,2107,2528,1017, ,1741,2869,2268,1774,1579, ,2433,3028,1884,3081,834, ,2076,2812,4290,1973,2278, ,
1517,1765,1171,3376,1787, ,1883,2154,2205,2085,1650, ,3655,2367,2395,1649,1756, ,2346,2731,2707,1648,2259, ,
1726,2414,1889,124,1372, ,2924,2934,4890,1866,1529, ,2158,3273,3046,1981,1393, ,2233,3149,3625,2075,1425, ,
1582,1671,2014,1634,1918, ,2571,3052,2605,1282,649, ,3162,2816,2259,1511,1252, ,3533,4356,2175,1994,1825, ,
1229,1251,1509,1773,2438, ,2542,2685,1878,1892,1074, ,1988,3886,2039,1661,1971, ,3551,2727,2332,2159,2581, ,
2008,1888,1624,1207,2029, ,2505,2747,2030,1732,2131, ,2472,3100,1488,1892,714, ,3348,3467,2485,1922,2087, ,3675,4682,1823,1924,1656, ,
2851,1712,1975,1171,2019, ,3084,3697,1807,1824,1982, ,2819,2623,3062,2086,848, ,3232,2368,2873,1102,1341, ,
2080,1781,1453,1872,1212, ,2661,2444,4241,1331,1370, ,3283,3796,1442,1847,1595, ,3814,3705,2876,1894,1383, ,
1671,1625,1780,390,1216, ,2904,2974,2649,1839,1604, ,1975,2786,1491,1930,1777, ,2975,2949,2290,1867,1228, ,4609,4170,2482,2130,1825, ,
1886,2096,2081,1721,1251, ,2195,2281,2661,2368,160, ,3726,3070,2562,1696,464, ,4274,1976,2019,1982,1674, ,
1638,2147,2353,1770,2515, ,2326,2317,2425,1574,2276, ,2997,3961,2096,1758,1651, ,4687,3164,3403,1628,2086, ,
1698,1901,2841,790,1209, ,1777,2390,1627,1480,1384, ,3178,2855,4021,2369,201, ,2675,2348,1916,1037,980, ,3139,3694,1602,1876,1872, ,2552,3478,1943,2013,1677, ,
1798,2114,1303,1057,1163, ,1837,1742,1777,2779,2023, ,2796,3651,1934,1903,482, ,2688,2758,3151,2272,2226, ,3688,3332,3418,1645,1366, ,
1859,2253,3025,1800,1486, ,2485,2172,3248,1381,1668, ,2419,2065,1952,1789,1284, ,2107,3366,3648,2568,1464, ,
1831,2056,2476,1550,1632, ,2983,3267,3377,1053,348, ,2249,2400,2098,1800,487, ,3097,3352,2044,1722,392, ,2853,4097,2351,1573,1299, ,
1542,2344,1426,2336,304, ,2001,1375,3078,1799,1372, ,2231,1989,3046,1485,807, ,2677,4295,3223,2337,1669, ,2525,2324,4238,1950,871, ,
